id,name,price,brand,source,source_url,original_image_url,image_url,category,final_category,image_index,crawl_status,crawled_at
000001,MOLAN Quần jeans ống đứng thường ngày dáng rộng cho Nam,129.000 ₫,Lazada,lazada,https://www.lazada.vn/products/pdp-i2952811943.html,https://img.lazcdn.com/g/p/a58f734a83eb60e42d85c6f85314e1a2.jpg,https://img.lazcdn.com/g/p/a58f734a83eb60e42d85c6f85314e1a2.jpg,quan_jean,quan_jean,0,raw,2026-05-01T15:48:13.774251
000002,Quần Jean Nam Ống Suông Quần Bò Denim Ống Đứng Vải Không Giãn Dày Dặn Mềm Mịn Form Chuẩn Không Phai Màu,129.000 ₫,Lazada,lazada,https://www.lazada.vn/products/pdp-i2403373830.html,https://img.lazcdn.com/g/p/febccff9ffdaeb083e2d9eccf2f08211.jpg,https://img.lazcdn.com/g/p/febccff9ffdaeb083e2d9eccf2f08211.jpg,quan_jean,quan_jean,0,raw,2026-05-01T15:48:13.774251
000003,Quần Jean Nam Quần Bò Nam Cào Dáng Skinny Co Giãn 4 Chiều Hàng Công Ty Xuất Khẩu Cao Cấp,159.000 ₫,Lazada,lazada,https://www.lazada.vn/products/pdp-i2799573934.html,https://img.lazcdn.com/g/p/d34ae4f2a323f5382ae96f0375657289.jpg,https://img.lazcdn.com/g/p/d34ae4f2a323f5382ae96f0375657289.jpg,quan_jean,quan_jean,0,raw,2026-05-01T15:48:13.774251
000004,"Quần Jean Cho Nam Giới, 2025 thời trang mới mùa hè dáng rộng thoải mái Phù Hợp quần jean mỏng quần dài Cho Nam Giới",170.000 ₫,Lazada,lazada,https://www.lazada.vn/products/pdp-i2761963454.html,https://img.lazcdn.com/g/p/9b841ebb193024a3b45b2532d02f0d92.jpg,https://img.lazcdn.com/g/p/9b841ebb193024a3b45b2532d02f0d92.jpg,quan_jean,quan_jean,0,raw,2026-05-01T15:48:13.774251
000005,Quần Jean Nam Quần Bò Nam Trơn Co Giãn Dáng Ôm Phòng Cách Thời Trang Hàn Quốc,159.000 ₫,Lazada,lazada,https://www.lazada.vn/products/pdp-i2409211282.html,https://img.lazcdn.com/g/p/27f63542f5258fb4895e641031b69e70.jpg,https://img.lazcdn.com/g/p/27f63542f5258fb4895e641031b69e70.jpg,quan_jean,quan_jean,0,raw,2026-05-01T15:48:13.774251
000006,QUẦN JEANS NAM THƯƠNG HIỆU CAO CẤP VIET FASHION ĐEN TRƠN MS VF00,169.000 ₫,Lazada,lazada,https://www.lazada.vn/products/pdp-i3039882731.html,https://img.lazcdn.com/g/p/f1f2b2f9a71a1d6b960c03d754518294.jpg,https://img.lazcdn.com/g/p/f1f2b2f9a71a1d6b960c03d754518294.jpg,quan_jean,quan_jean,0,raw,2026-05-01T15:48:13.774251
000007,Quần Jean Nam Ống Suông Quần Bò Nam Denim Ống Đứng Cotton Mềm Mịn Vải Dày Dặn Form Chuẩn,129.000 ₫,Lazada,lazada,https://www.lazada.vn/products/pdp-i2799616706.html,https://img.lazcdn.com/g/p/f7cc9c87577a92b6495a211b885bc9bf.jpg,https://img.lazcdn.com/g/p/f7cc9c87577a92b6495a211b885bc9bf.jpg,quan_jean,quan_jean,0,raw,2026-05-01T15:48:13.774251
000008,"Quần Kaki Jean Màu Xanh dương denim đẹp lạ DKA Quần Kaki Nam Dáng đứng, Chất vải co giãn, thoáng mát, lịch sự, trẻ trung - Doki",370.000 ₫,Lazada,lazada,https://www.lazada.vn/products/pdp-i454360974.html,https://img.lazcdn.com/g/p/86dc899c8373752e8b16358cf43b4550.jpg,https://img.lazcdn.com/g/p/86dc899c8373752e8b16358cf43b4550.jpg,quan_jean,quan_jean,0,raw,2026-05-01T15:48:13.774251
000009,Quần Jean Dài Trung Niên Ống Suông,102.000 ₫,Lazada,lazada,https://www.lazada.vn/products/pdp-i685488220.html,https://img.lazcdn.com/g/p/fccf1583bb626a450bc5da20df50ccec.jpg,https://img.lazcdn.com/g/p/fccf1583bb626a450bc5da20df50ccec.jpg,quan_jean,quan_jean,0,raw,2026-05-01T15:48:13.774251
000010,[HCM]Quần Jean Nam Quần Bò Nam Trơn Co Giãn Dáng Skinny Hàng Thiết Kế Cao Cấp Sang Trọng,159.000 ₫,Lazada,lazada,https://www.lazada.vn/products/pdp-i2182523850.html,https://img.lazcdn.com/g/p/8c5e5ab3f91269a5b755a4e0dd23fbbe.jpg,https://img.lazcdn.com/g/p/8c5e5ab3f91269a5b755a4e0dd23fbbe.jpg,quan_jean,quan_jean,0,raw,2026-05-01T15:48:13.774251
